You are now connected to database "mitchs_rare_treasures" as user "a".
 treasure_id |                 treasure_name                 |   colour   | age  | cost_at_auction | shop_id 
          31 | Extended Handmade Soft Chicken                | green      |  718 |          795.28 |      79
          32 | Centralized Licensed Cotton Bacon             | grey       |  953 |          123.57 |     451
          33 | Robust Sleek Cotton Gloves                    | sky blue   |   10 |          329.87 |     852
          34 | Function-based Licensed Granite Shoes         | lavender   |   66 |          809.11 |      11
          35 | Quality-focused Unbranded Granite Pizza       | olive      |  463 |           838.7 |     592
          36 | User-centric Intelligent Cotton Computer      | plum       |  781 |           376.1 |     946
          37 | Universal Generic Frozen Shoes                | plum       |  459 |          825.92 |     626
          38 | Right-sized Licensed Granite Ball             | turquoise  |  518 |          917.61 |     895
          39 | Multi-lateral Incredible Frozen Cheese        | teal       |  672 |          246.12 |     282
          40 | Right-sized Fantastic Concrete Chair          | indigo     |  599 |          712.04 |     974
          41 | Total Awesome Frozen Pizza                    | pink       |  550 |          805.27 |     577
          42 | Phased Awesome Soft Shirt                     | mint green |  472 |          264.45 |     233
          43 | Customizable Unbranded Wooden Cheese          | silver     |  464 |          455.13 |     646
          44 | Secured Awesome Concrete Shirt                | black      |  289 |          609.48 |     451
          45 | Virtual Rustic Soft Hat                       | grey       |  815 |          432.04 |     177
          46 | Reactive Rustic Wooden Mouse                  | sky blue   |  933 |          267.51 |     424
          47 | Multi-tiered Refined Wooden Towels            | tan        |  855 |          290.43 |     850
          48 | Down-sized Small Fresh Keyboard               | azure      |  510 |          420.52 |     940
          49 | Triple-buffered Handcrafted Cotton Sausages   | salmon     |  419 |          241.01 |     805
          50 | Networked Fantastic Concrete Computer         | fuchsia    |  396 |          922.86 |     878
          51 | Secured Small Soft Sausages                   | olive      |  747 |          732.38 |     855
          52 | Advanced Fantastic Rubber Hat                 | grey       |  562 |          347.31 |     446
          53 | Persevering Practical Soft Pants              | grey       |  126 |          870.75 |     476
          54 | Profound Generic Concrete Towels              | grey       |  938 |          893.43 |      13
          55 | Diverse Sleek Cotton Pants                    | plum       |  215 |          565.41 |     812
          56 | Extended Practical Wooden Ball                | gold       |  737 |          310.42 |      17
          57 | Integrated Gorgeous Metal Keyboard            | orange     |  558 |          605.02 |      17
          58 | Persistent Practical Rubber Towels            | black      |  824 |          117.85 |     585
          59 | Networked Intelligent Frozen Shirt            | mint green |  600 |          578.61 |     570
          60 | Diverse Intelligent Steel Salad               | pink       |  508 |          457.94 |      54
          61 | Diverse Licensed Plastic Computer             | maroon     |  545 |           558.1 |     343
          62 | Balanced Sleek Steel Bacon                    | maroon     |  806 |           51.59 |     284
          63 | Self-enabling Licensed Metal Chips            | ivory      |  585 |          849.33 |     556
          64 | Face to face Handmade Wooden Towels           | sky blue   |   21 |          798.29 |     721
          65 | Automated Licensed Granite Salad              | azure      |  635 |          389.48 |     393
          66 | Sharable Incredible Wooden Chicken            | lavender   |  883 |          580.37 |     695
          67 | Organized Small Fresh Sausages                | salmon     |  392 |          449.68 |     451
          68 | Down-sized Awesome Plastic Pizza              | gold       |  935 |           53.01 |     246
          69 | Digitized Fantastic Fresh Hat                 | teal       |  596 |          165.88 |     895
          70 | Robust Refined Plastic Bike                   | turquoise  |  126 |          210.58 |     780
          71 | Automated Gorgeous Soft Soap                  | blue       |  244 |          752.65 |     182
          72 | Upgradable Generic Granite Table              | lavender   |  879 |          685.18 |     865
          73 | Balanced Tasty Concrete Mouse                 | violet     |  508 |          767.39 |     374
          74 | Object-based Handcrafted Wooden Ball          | violet     |  908 |          309.64 |     489
          75 | Secured Intelligent Rubber Tuna               | ivory      |  258 |          962.08 |     374
          76 | Balanced Awesome Steel Sausages               | ivory      |  524 |          184.82 |     590
          77 | Monitored Small Soft Ball                     | tan        |   47 |          325.22 |     877
          78 | Balanced Tasty Metal Fish                     | indigo     |   54 |          191.21 |     992
          79 | Reactive Handmade Wooden Ball                 | tan        |  468 |          741.34 |     210
          80 | Phased Ergonomic Steel Gloves                 | grey       |  199 |          676.12 |     265
          81 | Self-enabling Ergonomic Granite Salad         | teal       |  914 |          205.76 |     639
          82 | Multi-lateral Gorgeous Steel Pizza            | fuchsia    |  490 |          113.99 |     776
          83 | Cloned Sleek Granite Fish                     | gold       |  557 |          508.45 |       5
          84 | User-friendly Awesome Plastic Pants           | orange     |   76 |          355.51 |     298
          85 | Inverse Tasty Steel Shirt                     | lavender   |  498 |          155.29 |     991
          86 | Profit-focused Refined Rubber Bacon           | black      |  725 |          927.67 |      95
          87 | Profit-focused Rustic Cotton Fish             | grey       |  515 |          354.16 |     180
          88 | Adaptive Small Fresh Cheese                   | grey       |  676 |          755.32 |     811
          89 | Configurable Ergonomic Frozen Fish            | indigo     |  834 |          255.56 |      87
          90 | Exclusive Practical Cotton Gloves             | purple     |  975 |          929.09 |     125
          91 | Reactive Intelligent Cotton Cheese            | turquoise  |  323 |          644.82 |     303
          92 | De-engineered Gorgeous Frozen Bike            | silver     |  585 |          833.42 |     196
          93 | Synergized Refined Fresh Towels               | orange     |  462 |          618.14 |     135
          94 | Organized Handcrafted Concrete Sausages       | silver     |  595 |          310.21 |      28
          95 | Fully-configurable Practical Steel Ball       | gold       |   87 |           316.9 |     353
          96 | Implemented Generic Granite Fish              | fuchsia    |  383 |          171.07 |     824
          97 | Distributed Handmade Metal Bike               | white      |  530 |          614.28 |      67
          98 | Down-sized Gorgeous Granite Chips             | indigo     |   42 |          886.46 |     835
          99 | Profit-focused Awesome Frozen Towels          | ivory      |  442 |          186.34 |    1000
         100 | Proactive Fantastic Frozen Cheese             | yellow     |  156 |          733.15 |      10
         101 | Sharable Rustic Steel Towels                  | grey       |  136 |          931.67 |     796
         102 | Enterprise-wide Sleek Cotton Gloves           | lime       |  395 |          340.72 |     753
         103 | Total Intelligent Rubber Hat                  | teal       |  300 |          275.33 |     950
         104 | Open-source Fantastic Granite Soap            | plum       |  342 |          532.73 |     419
         105 | Stand-alone Rustic Rubber Chicken             | violet     |  667 |          959.49 |     830
         106 | Persistent Small Steel Gloves                 | yellow     |  853 |          626.04 |     121
         107 | Proactive Fantastic Soft Chair                | teal       |  773 |          110.96 |      69
         108 | Universal Unbranded Metal Sausages            | azure      |  401 |          527.38 |     863
         109 | Synchronised Practical Steel Fish             | orange     |  562 |          845.67 |     133
         110 | Expanded Rustic Granite Chips                 | azure      |  780 |           255.8 |     737
         111 | Centralized Fantastic Fresh Shirt             | olive      |  642 |           96.36 |     271
         112 | Compatible Intelligent Cotton Pizza           | azure      |  896 |          210.99 |     509
         113 | Reverse-engineered Unbranded Metal Car        | red        |  775 |          125.48 |     829
         114 | Proactive Fantastic Frozen Bacon              | black      |  233 |          716.69 |      27
         115 | Multi-tiered Licensed Cotton Pizza            | yellow     |  154 |          547.31 |     379
         116 | Diverse Gorgeous Frozen Soap                  | purple     |  422 |          308.98 |     169
         117 | De-engineered Unbranded Metal Fish            | gold       |  438 |          148.65 |     405
         118 | Decentralized Gorgeous Wooden Hat             | indigo     |  106 |           919.3 |     440
         119 | Persistent Licensed Frozen Car                | teal       |  660 |           853.7 |     389
         120 | Down-sized Refined Rubber Bacon               | violet     |  251 |           88.82 |     241
         121 | Multi-channelled Handcrafted Concrete Bacon   | gold       |  794 |          330.91 |     564
         122 | Business-focused Unbranded Concrete Pizza     | turquoise  |   93 |          304.37 |     307
         123 | Multi-channelled Fantastic Concrete Towels    | maroon     |   30 |          836.69 |     117
         124 | Mandatory Handcrafted Soft Pants              | red        |  639 |          137.38 |     888
         125 | Realigned Practical Metal Gloves              | olive      |  308 |          278.63 |     231
         126 | Vision-oriented Tasty Soft Sausages           | sky blue   |  225 |          173.38 |      17
         127 | Function-based Handcrafted Rubber Keyboard    | azure      |  503 |          959.68 |     440
         128 | Phased Tasty Cotton Bike                      | blue       |  816 |           11.37 |     848
         129 | Adaptive Gorgeous Rubber Keyboard             | plum       |  358 |          797.37 |     248
         130 | Object-based Ergonomic Metal Cheese           | ivory      |  977 |          695.48 |     575
         131 | Profound Handcrafted Rubber Bike              | tan        |  765 |          335.19 |     514
         132 | Fundamental Awesome Steel Pants               | gold       |  868 |          901.02 |      93
         133 | User-friendly Incredible Rubber Shirt         | black      |  694 |          510.96 |     509
         134 | Up-sized Intelligent Metal Pizza              | indigo     |  464 |          772.79 |      58
         135 | Face to face Incredible Concrete Pants        | magenta    |  398 |          356.18 |     534
         136 | Decentralized Handcrafted Cotton Pants        | magenta    |  624 |          767.15 |     602
         137 | Secured Handcrafted Plastic Pants             | magenta    |  821 |          563.17 |      13
         138 | Visionary Ergonomic Rubber Tuna               | indigo     |  696 |          419.42 |     421
         139 | Persevering Refined Rubber Chicken            | white      |  228 |          396.54 |     985
         140 | Reactive Gorgeous Soft Shirt                  | orange     |  363 |          626.91 |     171
         141 | Virtual Incredible Fresh Shoes                | purple     |  398 |          755.93 |     949
         142 | Compatible Rustic Granite Chips               | white      |  273 |          265.98 |     997
         143 | Distributed Tasty Plastic Fish                | white      |  880 |          122.58 |     905
         144 | Virtual Rustic Granite Computer               | turquoise  |  360 |          496.95 |     514
         145 | Diverse Tasty Wooden Chicken                  | orchid     |  358 |             432 |     753
         146 | Robust Practical Soft Hat                     | grey       |  547 |          182.93 |     719
         147 | Cross-group Handcrafted Rubber Tuna           | silver     |  346 |          415.39 |     452
         148 | Cross-platform Practical Granite Chips        | magenta    |  411 |          110.51 |     784
         149 | Exclusive Sleek Plastic Table                 | azure      |  345 |          562.28 |     724
         150 | Quality-focused Small Fresh Sausages          | silver     |  781 |          226.03 |     258
         151 | Total Tasty Wooden Soap                       | silver     |  529 |          550.72 |     356
         152 | Function-based Unbranded Granite Chicken      | lime       |  679 |          711.26 |     397
         153 | User-friendly Ergonomic Plastic Shirt         | ivory      |  267 |          115.56 |     100
         154 | Phased Practical Steel Mouse                  | azure      |  491 |           930.1 |     328
         155 | Switchable Practical Frozen Towels            | turquoise  |  832 |          816.25 |     632
         156 | Seamless Incredible Granite Bike              | cyan       |   22 |          807.77 |     991
         157 | Inverse Unbranded Granite Tuna                | green      |  964 |          672.42 |     930
         158 | Face to face Small Steel Ball                 | sky blue   |  707 |           52.89 |     773
         159 | Proactive Awesome Plastic Bike                | green      |   40 |          593.11 |     540
         160 | Adaptive Fantastic Soft Chair                 | olive      |  311 |          587.27 |     278
         161 | De-engineered Handcrafted Soft Fish           | maroon     |  664 |          461.74 |     140
         162 | Synergistic Licensed Soft Shoes               | violet     |  722 |           927.5 |     139
         163 | Seamless Tasty Metal Hat                      | plum       |  730 |            7.37 |     495
         164 | Inverse Handmade Wooden Hat                   | indigo     |   71 |          823.98 |     241
         165 | Re-engineered Awesome Cotton Soap             | sky blue   |  651 |           79.28 |     574
         166 | Networked Tasty Granite Chips                 | teal       |  870 |          436.88 |     353
         167 | Virtual Rustic Rubber Bacon                   | orchid     |  634 |          990.34 |     943
         168 | Programmable Unbranded Frozen Soap            | fuchsia    |  167 |          683.23 |     696
         169 | Streamlined Licensed Wooden Bacon             | turquoise  |    7 |          608.61 |     894
         170 | Multi-channelled Ergonomic Cotton Gloves      | yellow     |  610 |          666.42 |     886
         171 | Versatile Licensed Fresh Bacon                | olive      |  872 |          960.99 |     266
         172 | Programmable Handmade Soft Pants              | indigo     |  626 |            7.05 |     706
         173 | Exclusive Small Soft Tuna                     | pink       |  245 |           13.75 |     499
         174 | Open-source Sleek Cotton Fish                 | black      |  882 |          566.12 |     302
         175 | Object-based Sleek Frozen Car                 | indigo     |  868 |           946.2 |     440
         176 | Intuitive Tasty Granite Car                   | mint green |  156 |          877.68 |       3
         177 | Pre-emptive Gorgeous Granite Salad            | purple     |  547 |          857.07 |     547
         178 | Expanded Small Rubber Mouse                   | violet     |  589 |          414.51 |     228
         179 | Virtual Handmade Cotton Salad                 | salmon     |  557 |          668.25 |     158
         180 | Mandatory Incredible Wooden Keyboard          | white      |  427 |          566.66 |     453
         181 | Centralized Refined Steel Soap                | salmon     |  123 |          599.84 |     913
         182 | Business-focused Ergonomic Plastic Chips      | salmon     |  258 |          194.52 |      54
         183 | Enterprise-wide Practical Frozen Tuna         | turquoise  |  541 |          789.72 |     565
         184 | Realigned Refined Soft Bacon                  | teal       |   92 |          855.54 |     710
         185 | Implemented Refined Concrete Bacon            | turquoise  |  506 |          502.56 |     652
         186 | Compatible Handmade Plastic Chair             | blue       |  211 |           57.23 |     964
         187 | Pre-emptive Awesome Fresh Keyboard            | fuchsia    |  885 |          496.88 |      86
         188 | Enterprise-wide Practical Rubber Shirt        | orange     |  555 |            2.58 |      62
         189 | Persistent Intelligent Fresh Sausages         | teal       |   76 |          541.15 |     538
         190 | Reactive Handmade Plastic Chips               | blue       |  223 |          391.53 |     448
         191 | Networked Licensed Concrete Hat               | olive      |  254 |          710.87 |     778
         192 | Streamlined Rustic Cotton Salad               | green      |  799 |          954.52 |     315
         193 | Expanded Rustic Granite Bike                  | orchid     |  222 |          542.52 |     541
         194 | Monitored Practical Granite Ball              | black      |  639 |           81.43 |     479
         195 | User-friendly Refined Frozen Ball             | yellow     |  659 |          748.96 |     678
         196 | Secured Refined Steel Fish                    | tan        |  770 |          132.89 |     166
         197 | Grass-roots Tasty Steel Soap                  | red        |  882 |          300.26 |     571
         198 | Public-key Rustic Metal Shoes                 | gold       |  927 |          189.86 |     627
         199 | Cross-group Sleek Fresh Bacon                 | pink       |  843 |          624.31 |     466
         200 | Total Unbranded Wooden Chips                  | cyan       |  629 |          558.63 |     865
         201 | Devolved Unbranded Concrete Tuna              | white      |  462 |          373.22 |     328
         202 | Seamless Sleek Frozen Towels                  | ivory      |  584 |           45.74 |     191
         203 | Diverse Small Frozen Fish                     | salmon     |  540 |          205.23 |     941
         204 | Down-sized Licensed Soft Table                | maroon     |  811 |          475.49 |     331
         205 | Devolved Intelligent Wooden Salad             | teal       |  483 |          923.21 |     780
         206 | Open-architected Awesome Cotton Mouse         | plum       |  692 |          184.79 |      79
         207 | Function-based Intelligent Plastic Table      | teal       |  955 |          208.24 |     365
         208 | Extended Practical Plastic Keyboard           | gold       |  159 |          110.29 |     677
         209 | Object-based Fantastic Plastic Chair          | blue       |  179 |          618.55 |     519
         210 | Streamlined Handcrafted Frozen Pants          | lime       |   82 |           890.7 |     856
         211 | Triple-buffered Awesome Metal Tuna            | violet     |  827 |          472.75 |      43
         212 | Horizontal Licensed Granite Table             | white      |  404 |            5.15 |     657
         213 | Advanced Small Wooden Chicken                 | turquoise  |  756 |           32.96 |      62
         214 | Future-proofed Tasty Plastic Cheese           | olive      |  742 |          637.49 |     143
         215 | Object-based Generic Rubber Tuna              | black      |  845 |          125.27 |     541
         216 | Profound Generic Soft Pizza                   | violet     |  164 |          707.68 |     886
         217 | Visionary Refined Cotton Tuna                 | orchid     |   76 |          544.46 |     383
         218 | Assimilated Intelligent Fresh Pizza           | silver     |  207 |          254.85 |     345
         219 | Focused Ergonomic Wooden Chair                | yellow     |  470 |           19.36 |     773
         220 | Mandatory Rustic Cotton Shirt                 | grey       |  892 |           13.75 |     964
         221 | Open-architected Gorgeous Cotton Salad        | white      |  664 |          925.68 |     528
         222 | Fundamental Handcrafted Rubber Towels         | azure      |  491 |             342 |     157
         223 | Horizontal Tasty Wooden Pants                 | orange     |  698 |          704.85 |     122
         224 | Inverse Sleek Cotton Gloves                   | salmon     |  119 |          933.86 |     136
         225 | Managed Refined Steel Pizza                   | turquoise  |  184 |          374.52 |     995
         226 | Synergized Awesome Plastic Sausages           | orchid     |  886 |          340.51 |     438
         227 | Monitored Fantastic Cotton Chips              | maroon     |  669 |          383.13 |     820
         228 | Object-based Intelligent Rubber Table         | blue       |   55 |           322.6 |     335
         229 | Optimized Practical Fresh Keyboard            | mint green |  416 |           567.4 |     270
         230 | Multi-layered Licensed Rubber Computer        | pink       |  736 |           32.81 |      53
         231 | Networked Rustic Metal Cheese                 | gold       |  773 |          315.81 |     482
         232 | Virtual Gorgeous Granite Gloves               | pink       |  921 |          695.69 |     555
         233 | Mandatory Handcrafted Granite Hat             | sky blue   |  385 |          419.11 |     346
         234 | Seamless Small Frozen Bacon                   | mint green |  395 |          845.42 |     614
         235 | Secured Licensed Fresh Pants                  | fuchsia    |  865 |          740.53 |     197
         236 | Versatile Handcrafted Wooden Bike             | magenta    |  785 |           83.49 |     795
         237 | Decentralized Incredible Plastic Tuna         | teal       |  140 |          168.96 |     175
         238 | Robust Small Metal Shirt                      | turquoise  |  803 |          297.06 |     139
         239 | Integrated Handcrafted Frozen Keyboard        | plum       |  310 |          153.14 |     115
         240 | Integrated Unbranded Soft Soap                | olive      |  134 |          595.57 |     274
         241 | Decentralized Sleek Metal Bike                | mint green |    8 |           461.1 |      85
         242 | Triple-buffered Fantastic Soft Bacon          | pink       |  673 |          910.21 |     942
         243 | Public-key Fantastic Rubber Pants             | silver     |  957 |          145.86 |     393
         244 | Programmable Generic Soft Shoes               | cyan       |  408 |          332.27 |     816
         245 | Diverse Handcrafted Wooden Shirt              | black      |   87 |          131.81 |     621
         246 | Synchronised Handmade Cotton Bacon            | orchid     |  873 |          701.22 |     151
         247 | Focused Tasty Steel Ball                      | gold       |  245 |          489.36 |     166
         248 | Enhanced Refined Granite Shirt                | pink       |  462 |            0.82 |     206
         249 | Synergistic Handcrafted Soft Cheese           | turquoise  |  870 |          799.62 |     423
         250 | Extended Small Steel Mouse                    | violet     |  458 |          686.21 |     207
         251 | Customizable Handmade Frozen Sausages         | silver     |  764 |          406.73 |     668
         252 | Ergonomic Generic Concrete Shirt              | green      |  374 |           508.3 |     821
         253 | Balanced Licensed Rubber Pants                | pink       |  159 |          334.66 |     310
         254 | Multi-channelled Gorgeous Soft Sausages       | pink       |  592 |          661.93 |      14
         255 | Reverse-engineered Incredible Soft Chicken    | teal       |  488 |          729.91 |     171
         256 | Inverse Intelligent Steel Hat                 | magenta    |  594 |          537.91 |     567
         257 | User-friendly Practical Cotton Fish           | green      |  857 |          429.09 |     264
         258 | Exclusive Intelligent Frozen Shoes            | lime       |  497 |          298.62 |     337
         259 | Polarised Tasty Fresh Bacon                   | purple     |  366 |          715.32 |     727
         260 | Synergized Intelligent Frozen Fish            | salmon     |  766 |          767.72 |     482
         261 | User-centric Gorgeous Rubber Computer         | orchid     |  884 |           947.5 |     771
         262 | Up-sized Unbranded Plastic Chair              | turquoise  |  191 |          291.77 |     831
         263 | Enterprise-wide Sleek Steel Cheese            | orchid     |  560 |          820.25 |     110
         264 | Reverse-engineered Ergonomic Rubber Mouse     | red        |   96 |          630.63 |     100
         265 | Assimilated Tasty Concrete Tuna               | plum       |  192 |          697.19 |     338
         266 | Open-architected Small Plastic Bacon          | maroon     |  173 |          165.36 |     129
         267 | Triple-buffered Licensed Steel Bacon          | ivory      |  189 |          926.24 |     890
         268 | Managed Awesome Rubber Gloves                 | yellow     |   48 |          495.72 |      96
         269 | Multi-layered Handmade Rubber Chair           | tan        |  712 |          581.94 |      78
         270 | Compatible Refined Granite Pizza              | green      |  185 |          423.16 |     704
         271 | Enhanced Tasty Granite Computer               | red        |  275 |          458.42 |     187
         272 | Horizontal Sleek Soft Chips                   | sky blue   |  629 |           19.39 |     389
         273 | Grass-roots Awesome Rubber Bike               | black      |  660 |          759.46 |     873
         274 | Decentralized Tasty Steel Shoes               | black      |   78 |           14.91 |     789
         275 | Persevering Generic Rubber Bike               | silver     |  825 |          819.96 |     666
         276 | Function-based Intelligent Concrete Sausages  | violet     |  342 |          491.28 |     169
         277 | Innovative Generic Soft Gloves                | silver     |  579 |           796.1 |     412
         278 | Upgradable Ergonomic Granite Bike             | mint green |  291 |          578.95 |     290
         279 | Inverse Tasty Fresh Pants                     | salmon     |  682 |          995.74 |     336
         280 | Right-sized Refined Plastic Shirt             | grey       |  342 |          123.53 |     801
         281 | Re-engineered Ergonomic Cotton Fish           | yellow     |  719 |          470.93 |     762
         282 | Sharable Gorgeous Soft Tuna                   | maroon     |  566 |          849.55 |     852
         283 | Expanded Unbranded Concrete Ball              | salmon     |  525 |          532.75 |     907
         284 | Down-sized Sleek Steel Hat                    | ivory      |  530 |           84.32 |     892
         285 | Versatile Handcrafted Fresh Bacon             | lavender   |  502 |           50.16 |     568
         286 | Enhanced Unbranded Cotton Fish                | azure      |  675 |           702.8 |     512
         287 | Object-based Generic Steel Bacon              | pink       |  893 |          822.85 |     417
         288 | Ergonomic Intelligent Plastic Chicken         | magenta    |  502 |          331.61 |     939
         289 | Re-engineered Tasty Metal Chair               | magenta    |  891 |          911.79 |     408
         290 | Multi-channelled Refined Granite Bacon        | maroon     |  417 |          232.65 |     737
         291 | Profound Rustic Metal Chips                   | fuchsia    |  815 |           76.64 |     998
         292 | Secured Ergonomic Fresh Chicken               | white      |  791 |           569.6 |     857
         293 | Reactive Refined Steel Soap                   | plum       |  890 |          867.69 |     424
         294 | Managed Ergonomic Granite Fish                | black      |  665 |          974.69 |     186
         295 | Multi-channelled Handmade Fresh Shoes         | yellow     |  926 |          893.21 |     643
         296 | Synergistic Refined Fresh Bacon               | red        |  447 |          417.41 |     239
         297 | Exclusive Unbranded Wooden Towels             | plum       |  917 |          907.36 |     253
         298 | Cross-platform Refined Metal Soap             | orchid     |  308 |          832.76 |       1
         299 | Stand-alone Intelligent Wooden Hat            | ivory      |  768 |          202.92 |     223
         300 | Upgradable Gorgeous Rubber Fish               | green      |  859 |          943.09 |     686
         301 | Open-architected Licensed Rubber Chicken      | tan        |  750 |          701.22 |     644
         302 | Decentralized Awesome Concrete Mouse          | fuchsia    |  388 |          779.46 |     389
         303 | Automated Incredible Plastic Pants            | gold       |   56 |          766.63 |     467
         304 | Public-key Handcrafted Plastic Computer       | magenta    |  436 |          428.56 |      92
         305 | Public-key Tasty Concrete Pizza               | mint green |  675 |          293.11 |     957
         306 | Centralized Small Fresh Sausages              | fuchsia    |  709 |          543.87 |     292
         307 | Implemented Generic Granite Towels            | ivory      |  997 |          658.59 |     913
         308 | Universal Licensed Granite Pizza              | silver     |  387 |          164.24 |     897
         309 | Organic Sleek Cotton Shirt                    | purple     |  586 |          500.35 |     131
         310 | Ergonomic Tasty Concrete Bike                 | yellow     |  484 |          547.55 |     372
         311 | Exclusive Rustic Cotton Pizza                 | silver     |  676 |          989.48 |     684
         312 | Devolved Unbranded Rubber Computer            | turquoise  |  468 |          630.35 |     186
         313 | Operative Ergonomic Fresh Pants               | orchid     |  665 |          283.18 |     214
         314 | Profit-focused Incredible Concrete Keyboard   | yellow     |  318 |          270.89 |      63
         315 | Visionary Handcrafted Soft Shoes              | gold       |  916 |           99.65 |     438
         316 | Assimilated Gorgeous Concrete Pizza           | red        |  785 |          646.12 |     201
         317 | Exclusive Refined Fresh Table                 | red        |  206 |          793.37 |     423
         318 | Managed Rustic Plastic Mouse                  | pink       |  242 |          501.89 |     144
         319 | Managed Licensed Soft Pizza                   | red        |  834 |          235.79 |     190
         320 | Profit-focused Tasty Plastic Soap             | ivory      |  353 |          732.77 |     711
         321 | Automated Incredible Granite Bacon            | plum       |  477 |          507.31 |     255
         322 | Proactive Incredible Concrete Shoes           | pink       |  926 |          193.02 |     341
         323 | Open-architected Handcrafted Rubber Chips     | red        |  770 |          411.41 |     240
         324 | Multi-channelled Rustic Wooden Car            | yellow     |  863 |          521.75 |     448
         325 | Multi-tiered Licensed Steel Chicken           | turquoise  |  889 |          656.88 |      61
         326 | Pre-emptive Ergonomic Rubber Pizza            | indigo     |  554 |          349.38 |     801
         327 | Profit-focused Handmade Cotton Shirt          | tan        |   76 |          691.62 |      89
         328 | Synergistic Handmade Fresh Sausages           | green      |  484 |          430.42 |     153
         329 | Managed Handmade Cotton Salad                 | maroon     |  826 |          894.61 |     764
         330 | Optimized Licensed Steel Sausages             | pink       |   48 |          583.18 |     617
         331 | Operative Licensed Plastic Chips              | silver     |  741 |           950.1 |     235
         332 | Multi-tiered Unbranded Fresh Chair            | cyan       |   32 |          592.08 |     523
         333 | Horizontal Handmade Wooden Hat                | purple     |  621 |          638.35 |     884
         334 | Diverse Ergonomic Soft Gloves                 | green      |  450 |          168.61 |     593
         335 | Advanced Small Soft Towels                    | grey       |   20 |           321.3 |     785
         336 | Object-based Awesome Metal Shoes              | olive      |  458 |          872.91 |      95
         337 | Cross-group Small Rubber Soap                 | yellow     |  455 |          260.55 |     658
         338 | Networked Small Steel Cheese                  | ivory      |  676 |          636.58 |     751
         339 | Front-line Small Wooden Mouse                 | orange     |  727 |           86.49 |     817
         340 | Advanced Awesome Frozen Towels                | green      |  555 |           14.04 |     744
         341 | Automated Awesome Plastic Mouse               | plum       |  135 |          134.57 |      54
         342 | Extended Sleek Concrete Soap                  | orchid     |  124 |          127.86 |     965
         343 | Multi-tiered Ergonomic Metal Tuna             | plum       |  416 |          332.84 |      95
         344 | Programmable Handcrafted Concrete Ball        | tan        |  807 |          906.93 |     550
         345 | Digitized Handmade Plastic Pants              | sky blue   |  754 |          716.88 |     802
         346 | Reverse-engineered Practical Frozen Soap      | yellow     |  888 |          313.62 |     262
         347 | Self-enabling Unbranded Wooden Car            | purple     |  238 |          108.04 |     460
         348 | Self-enabling Practical Soft Sausages         | yellow     |  302 |          642.42 |     903
         349 | Synergized Sleek Wooden Cheese                | orange     |  583 |          474.72 |     175
         350 | Progressive Incredible Soft Mouse             | orange     |  328 |          773.13 |     436
